scenario,lr,year,solarPV,windon,windoff
scenario_high_avg_avg,LR5,2040,1196367.438432768,403040.1130557361,97931.42319986755
scenario_high_avg_high,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_avg_high,LR5,2040,1196314.855058389,403043.9622256219,97931.42319986755
scenario_high_high_min,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_min,LR5,2040,1177825.527450243,407416.1947187274,96988.51028896894
scenario_high_high_avg,LR5,2030,598352.5452238852,297382.5,41596.5
scenario_high_high_avg,LR5,2040,1173340.176657182,408008.0976787853,96988.51028896894
scenario_high_high_high,LR5,2030,598352.545223885,297382.5,41596.5
scenario_high_high_high,LR5,2040,1173340.176657181,408008.0976787854,96988.51028896893
scenario_min_min_min,LR6,2030,598352.5452238849,297382.5,41596.5
scenario_min_min_min,LR6,2040,1162360.988855148,397140.7615146748,99442.3061389423
scenario_min_min_avg,LR6,2030,598352.545223885,297382.5,41596.5
scenario_min_min_avg,LR6,2040,1172547.021789828,398014.3387609585,99027.52980084738
scenario_min_min_high,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_min_min_high,LR6,2040,1172547.021789828,398014.3387609586,99027.52980084735
scenario_min_avg_min,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_min,LR6,2040,1203732.936319096,396410.1854941829,97931.42319986754
scenario_min_avg_avg,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_min_avg_avg,LR6,2040,1203375.365303161,396729.1668289066,97931.42319986755
scenario_min_avg_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_min_avg_high,LR6,2040,1203375.365303161,396729.1668289066,97931.4231998676
scenario_min_high_min,LR6,2030,598352.545223885,297382.5,41596.5
scenario_min_high_min,LR6,2040,1181866.420695299,400670.5818484221,96988.51028896903
scenario_min_high_avg,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_min_high_avg,LR6,2040,1190769.196318287,400825.2070290856,96964.23287819746
scenario_min_high_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_min_high_high,LR6,2040,1190769.196318286,400825.2070290854,96964.23287819746
scenario_avg_min_min,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_min,LR6,2040,1184257.001027339,397140.7615146749,99690.16937331835
scenario_avg_min_avg,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_avg,LR6,2040,1173340.176657182,397903.8389151896,99027.52980084735
scenario_avg_min_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_min_high,LR6,2040,1173340.176657182,397903.8389151894,99027.52980084725
scenario_avg_avg_min,LR6,2030,598352.5452238852,297382.5,41596.5
scenario_avg_avg_min,LR6,2040,1203616.851746356,396452.1740817436,97931.42319986754
scenario_avg_avg_avg,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_avg_avg,LR6,2040,1203600.752446929,396729.1668289065,97931.42319986755
scenario_avg_avg_high,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_avg_high,LR6,2040,1203600.752446927,396729.1668289068,97931.42319986754
scenario_avg_high_min,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_high_min,LR6,2040,1192827.338073321,400670.5818484222,96988.51028896896
scenario_avg_high_avg,LR6,2030,598352.545223885,297382.5,41596.5
scenario_avg_high_avg,LR6,2040,1192904.152916011,400872.8098852069,96988.51028896894
scenario_avg_high_high,LR6,2030,598352.5452238849,297382.5,41596.5
scenario_avg_high_high,LR6,2040,1192904.152916003,400872.809885207,96988.51028896886
scenario_high_min_min,LR6,2030,598352.545223885,297382.5,41596.5
scenario_high_min_min,LR6,2040,1172228.329409909,400030.8686470353,99252.78518603648
